cédula;nombre;apellido;oficina de origen;valor pagado;número credito;fecha y hora recaudo;valor comisión
23456789;Camilo;Ruiz;4567890;6000000;1004;2017-11-20 12:00:58;700000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
76578439;Luisa;Ruiz;4567890;5000000;1003;2017-11-20 12:00:58;600000
